"ID_PROD",0	"CATEGORIA",0	"SUBCATEGORIA",0	"NOMBRE",0	"DESCRIPCION",0	"MARCA",0	"UNIDCOMP",0	"PRECOSTO",1	"PREVENTA",1	"STOCK",1	"TPREPAR",1	"FECCRE",2	"FECMOD",2
7750243040136	COUNTER	SNACK		Galleta Casino			0.53	0.8	-18	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750235688	COUNTER	GASEOSA		Agua Cielo 625mL		Paq. de 15	0.8	1.2	-619	0	1899:12:30:00:00:00	2017:03:02:00:00:00	
7750430000219	COUNTER	GASEOSA		Agua Vida 625mL		Paq. de 15	0.8	1.2	-13	0	2017:03:27:14:16:25	2017:03:27:14:16:25	
FAX00000	COUNTER	SERVIC		Fax Local			0	2	995	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
Fax01000	COUNTER	SERVIC		Fax Nacional			0	3	991	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
Fax02000	COUNTER	SERVIC		Fax Internacional			0	5	991	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750106020053	COUNTER	SNACK		Galleta Soda San Jorge		Caja de 28 unid	0.388571428571429	0.6	-41	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7752025007191	COUNTER	SNACK		Papitas Lays - Clásica		Paq. de 12	0.84	1.2	-145	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
001	COCINA	OTRO		OTRO - COCINA. Escriba descripción			0	10	-123	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
COD000	COCINA	OTRO		Alquiler de baño			0	1	457	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
00523	COCINA	PASTELERIA		Gelatina			0	1.5	-163	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
00524	COCINA	PASTELERIA		Flan 			0	2	-14	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7752025007788	COUNTER	SNACK		Piqueos Snack			0	1.2	-55	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7372025007351	COUNTER	SNACK		Doritos			0	1	-42	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7752025007290	COUNTER	SNACK		Cheese Tris		Paq. de 12	0.84	1	-104	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7752025006736	COUNTER	SNACK		Chizitos Chipy Pequeño			0	0.5	-37	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
PRINCO'003478	COUNTER	LIBRERIA		DVDs		paq de 50	0.44	2	-28	0	1899:12:30:00:00:00	2017:03:23:00:00:00	
SNACK005	COUNTER	SNACK		Cheetos - Canchita			0	1	-11	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
SNACK11	COUNTER	SNACK		Tortees 			0	1.2	-144	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
LIB00100	COUNTER	LIBRERIA		Papel Bond A4 (paq. 500 unid).		unidad	9.5	13	4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
GAS002	COUNTER	GASEOSA		Fanta 400mL		Paq. de 12	1.75	2	-108	0	1899:12:30:00:00:00	2017:02:28:00:00:00	
LIB010	COUNTER	LIBRERIA		Tijera naranja 		Caja de 24	0.541666666666667	1.2	-18	0	1899:12:30:00:00:00	2017:04:05:00:00:00	
#297	COUNTER	GASEOSA		Agua Cielo 1000mL		Paq de 6	1.45	2	-36	0	2017:03:16:19:09:02	2017:03:16:19:09:02	
#277	COUNTER	GASEOSA		Agua San Mateo 600mL		Paq. de 15	1.2	1.8	-86	0	2017:04:07:17:45:08	2017:04:07:17:45:08	
GAS005	COUNTER	GASEOSA		Gaseosa Aquarius			1.4166	2	-160	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7622300279783	COUNTER	SNACK		Galleta Vainilla Field		paq. de 6	0.53	0.7	-52	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
SNACK14	COUNTER	SNACK		Galleta Tentación			0.48	0.7	-17	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750885004312	COUNTER	SNACK		Galleta ChocoDonuts			0.38	0.6	-9	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750670005814	COUNTER	GASEOSA		Volt - 300mL		paq.de 12	1.3725	2	-183	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750885438759	COUNTER	SNACK		Chocman			0.43	0.7	-19	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7752025008044	COUNTER	SNACK		Chifles - Karinto			0	1.2	-38	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7752025008440	COUNTER	SNACK		Cuates pequeños			0	0.7	-116	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7613033446832	COUNTER	SNACK		Chocolate Triangulo Donofrio		Caja de 22	1.04	1.5	-130	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7613035049628	COUNTER	SNACK		Chocolate Sublime Clásico			0	1.5	-193	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7613031523092	COUNTER	SNACK		Chocolate Sublime Blanco			0	1.2	-12	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7613035199095	COUNTER	SNACK		Chocolate sublime con almendras			0	1	-62	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7613032019457	COUNTER	SNACK		Chocolate Princesa en barra		Caja de 20	1.015	1.5	-39	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7613031255726	COUNTER	SNACK		Galleta Morochas		Bolsa de 8 unid.	0.675	1	-149	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7613033447150	COUNTER	SNACK		Lenteja Nestle 		Caja de 24 unid	0.424583333333333	0.6	-34	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7622300513917	COUNTER	SNACK		Galleta Soda Field			0.35	0.6	-27	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7790580602000	COUNTER	SNACK		Gomitas Frutado Mogul (Rollo)			0.658333333333333	0.8	-14	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7613032271831	COUNTER	SNACK		Galleta Dore			0	0.6	-70	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7752025006737	COUNTER	SNACK		Chizito Chipy Grande			0	1	-195	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750082207424	COUNTER	LIBRERIA		Regla Artesco  30cm 		docena	0.666666666666667	1.5	-14	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
6924561101201	COUNTER	LIBRERIA		Marcador para CD Oval (doble punta)	Oval	caja de 12	0.666666666666667	1.5	-26	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
