"ID_PROD",0	"CATEGORIA",0	"SUBCATEGORIA",0	"NOMBRE",0	"DESCRIPCION",0	"MARCA",0	"UNIDCOMP",0	"PRECOSTO",1	"PREVENTA",1	"STOCK",1	"TPREPAR",1	"FECCRE",2	"FECMOD",2	"ACTIVO",0	"PROVEE",0
LIB007000	COUNTER	LIBRERIA		Goma DAVID 23cc		Docena	0.333333333333333	0.8	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
LIB00100	COUNTER	LIBRERIA		Papel Bond A4 (paq. 500 unid).		unidad	9.5	13.5	2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750277072776	COUNTER	LIBRERIA		Sobre Manila Medio Oficio			0	0.4	51	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750737360566	COUNTER	LIBRERIA		Sobre Manila Pago		Paq. de 50	0.08	0.3	36	0	1899:12:30:00:00:00	2017:04:05:00:00:00	V	
6924561101201	COUNTER	LIBRERIA		Marcador para CD Oval (doble punta) Indeleble	Oval	caja de 12	0.666666666666667	1.5	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
#313	COUNTER	GASEOSA		Agua Vida 625 ml		Paq. de 12	0.891666666666667	1.2	0		2018:05:21:10:21:13	2018:05:21:10:21:13	F	
7750082003439	COUNTER	LIBRERIA		Lapiz ARTESCO 2B		Caja de 12	0.416666666666667	0.8	-25	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7702024052036	COUNTER	SNACK		Galleta MILO		Paq de 6	0.633333333333333	0.8	0	0	2017:11:07:22:31:55	2017:11:07:22:31:55	F	
7622300116521	COUNTER	SNACK		Galleta Ritz		bolsa de 6	0.42	0.7	0	0	2017:04:20:15:50:03	2017:04:20:15:50:03	V	44
7790580602000	COUNTER	SNACK		Gomitas Frutado Mogul (Rollo)			0.658333333333333	0.8	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7757174006798	COUNTER	SNACK		Bon o Bon Tableta			0	1	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7622300124526	COUNTER	SNACK		Galleta Ritz Queso		bolsa de 6	0.513	0.8	3	0	2017:04:20:15:48:48	2017:04:20:15:48:48	V	44
7613032271831	COUNTER	SNACK		Galleta Dore		Paq. de 6	0.416666666666667	0.7	4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	33
775073700844	COUNTER	LIBRERIA		Folder Colores (Surtidos)		Paq de 25, de un solo color.	0.28	1	-15	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
4902505239809	COUNTER	LIBRERIA		Lapicero Pilot 0.7	PILOT		0	3	-1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
000123456789	COUNTER	LIBRERIA		Chinches Colores x 2 Und			0	0.1	-10	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
6944599284509	COUNTER	LIBRERIA		Posit Colores			0	3.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
#2831	COUNTER	LIBRERIA		Plumón grueso JUMBO 47	FABER CASTELL	Docena	2.08333333333333	3	2		2018:03:14:22:07:30	2018:03:14:22:07:30	V	
#2781	COUNTER	LIBRERIA		Papel Bond A3 - 90gr		Ciento	0	0.3	68	0	2017:04:19:17:01:58	2017:04:19:17:01:58	V	
